SAO PAULO-SP,355030 ,ALFREDO CHAVES-ES,320030 ,"686,3"
SAO PAULO-SP,355030 ,ALFREDO MARCONDES-SP,350080 ,"520,2"
SAO PAULO-SP,355030 ,ALFREDO WAGNER-SC,420070 ,"536,0"
SAO PAULO-SP,355030 ,ALHANDRA-PB,250060 ,"2.185,0"
SAO PAULO-SP,355030 ,ALIANCA DO TOCANTINS-TO,170035 ,"1.381,2"
SAO PAULO-SP,355030 ,ALMAS-TO,170040 ,"1.331,4"
SAO PAULO-SP,355030 ,ALMEIRIM-PA,150050 ,"2.529,1"
SAO PAULO-SP,355030 ,ALMENARA-MG,310170 ,"1.026,9"
SAO PAULO-SP,355030 ,ALMIRANTE TAMANDARE-PR,410040 ,"334,9"
SAO PAULO-SP,355030 ,ALPINOPOLIS-MG,310190 ,"298,0"
SAO PAULO-SP,355030 ,ALTA FLORESTA D`OESTE-RO,110001 ,"2.072,9"
SAO PAULO-SP,355030 ,ALTA FLORESTA-MT,510025 ,"1.820,8"
SAO PAULO-SP,355030 ,ALTAIR-SP,350090 ,"417,1"
SAO PAULO-SP,355030 ,ALTAMIRA DO MARANHAO-MA,210040 ,"2.157,2"
SAO PAULO-SP,355030 ,ALTAMIRA-PA,150060 ,"2.338,5"
SAO PAULO-SP,355030 ,ALTANEIRA-CE,230060 ,"1.980,9"
SAO PAULO-SP,355030 ,ALTEROSA-MG,310200 ,"259,1"
SAO PAULO-SP,355030 ,ALTINHO-PE,260080 ,"2.016,9"
SAO PAULO-SP,355030 ,ALTINOPOLIS-SP,350100 ,"289,2"
SAO PAULO-SP,355030 ,ALTO ALEGRE DO PINDARE-MA,210047 ,"2.210,7"
SAO PAULO-SP,355030 ,ALTO ALEGRE DOS PARECIS-RO,110037 ,"2.044,9"
SAO PAULO-SP,355030 ,ALTO ALEGRE-RR,140005 ,"3.349,8"
SAO PAULO-SP,355030 ,ALTO ALEGRE-SP,350110 ,"422,3"
SAO PAULO-SP,355030 ,ALTO ARAGUAIA-MT,510030 ,"973,2"
SAO PAULO-SP,355030 ,ALTO DO RODRIGUES-RN,240070 ,"2.289,4"
SAO PAULO-SP,355030 ,ALTO GARCAS-MT,510040 ,"1.025,6"
SAO PAULO-SP,355030 ,ALTO LONGA-PI,220030 ,"2.087,0"
SAO PAULO-SP,355030 ,ALTO PARAGUAI-MT,510050 ,"1.439,5"
SAO PAULO-SP,355030 ,ALTO PARAISO DE GOIAS-GO,520060 ,"1.049,5"
SAO PAULO-SP,355030 ,ALTO PARAISO-RO,110040 ,"2.344,8"
SAO PAULO-SP,355030 ,ALTO PARANA-PR,410060 ,"581,6"
SAO PAULO-SP,355030 ,ALTO PARNAIBA-MA,210050 ,"1.606,3"
SAO PAULO-SP,355030 ,ALTO RIO NOVO-ES,320035 ,"765,3"
SAO PAULO-SP,355030 ,ALTO TAQUARI-MT,510060 ,"937,8"
SAO PAULO-SP,355030 ,ALTOS-PI,220040 ,"2.104,6"
SAO PAULO-SP,355030 ,ALUMINIO-SP,350115 ,"62,7"
SAO PAULO-SP,355030 ,ALVARES FLORENCE-SP,350120 ,"491,6"
SAO PAULO-SP,355030 ,ALVARES MACHADO-SP,350130 ,"521,1"
SAO PAULO-SP,355030 ,ALVARO DE CARVALHO-SP,350140 ,"354,4"
SAO PAULO-SP,355030 ,ALVINLANDIA-SP,350150 ,"341,8"
SAO PAULO-SP,355030 ,ALVINOPOLIS-MG,310230 ,"530,9"
SAO PAULO-SP,355030 ,ALVORADA DO GURGUEIA-PI,220045 ,"1.707,5"
SAO PAULO-SP,355030 ,ALVORADA DO NORTE-GO,520080 ,"1.006,8"
SAO PAULO-SP,355030 ,ALVORADA D`OESTE-RO,110034 ,"2.139,1"
SAO PAULO-SP,355030 ,ALVORADA-RS,430060 ,"842,5"
SAO PAULO-SP,355030 ,ALVORADA-TO,170070 ,"1.256,9"
SAO PAULO-SP,355030 ,AMAJARI-RR,140002 ,"3.417,9"
SAO PAULO-SP,355030 ,AMAMBAI-MS,500060 ,"877,9"
SAO PAULO-SP,355030 ,AMAPA-AP,160010 ,"2.880,3"
SAO PAULO-SP,355030 ,AMAPORA-PR,410090 ,"629,6"
SAO PAULO-SP,355030 ,AMARALINA-GO,520082 ,"1.104,4"
SAO PAULO-SP,355030 ,AMARANTE-PI,220050 ,"1.965,0"
SAO PAULO-SP,355030 ,AMARGOSA-BA,290100 ,"1.384,2"
SAO PAULO-SP,355030 ,AMELIA RODRIGUES-BA,290110 ,"1.492,4"
SAO PAULO-SP,355030 ,AMERICANA-SP,350160 ,"113,4"
SAO PAULO-SP,355030 ,AMERICO BRASILIENSE-SP,350170 ,"251,3"
SAO PAULO-SP,355030 ,AMERICO DE CAMPOS-SP,350180 ,"481,0"
SAO PAULO-SP,355030 ,AMONTADA-CE,230075 ,"2.359,5"
SAO PAULO-SP,355030 ,AMPARO-PB,250073 ,"2.049,5"
SAO PAULO-SP,355030 ,AMPARO-SP,350190 ,"92,6"
SAO PAULO-SP,355030 ,ANADIA-AL,270020 ,"1.890,8"
SAO PAULO-SP,355030 ,ANAGE-BA,290120 ,"1.147,6"
SAO PAULO-SP,355030 ,ANALANDIA-SP,350200 ,"188,0"
SAO PAULO-SP,355030 ,ANANAS-TO,170100 ,"1.915,2"
SAO PAULO-SP,355030 ,ANANINDEUA-PA,150080 ,"2.472,2"
SAO PAULO-SP,355030 ,ANAPOLIS-GO,520110 ,"836,8"
SAO PAULO-SP,355030 ,ANAPU-PA,150085 ,"2.284,1"
